type,exclude,date,date_end,what,what_translation,institution,department,where,additional_info,additional_info2,url,slides,video,short_cv,order,academic,professional_2_page,website,one_column_paged,brief_no_pubs,humanities,humanities_description
work,NA,2020-02-01,present,Data Scientist and Digital Humanities Consultant,NA,NA,NA,"[Śākta Traditions](http://saktatraditions.org/people/), Oxford Centre for Hindu Studies, University of Oxford","I provide practical support and consultancy on natural language processing methods for analysis and visualisation of large text corpora, using reproducible workflows in R Markdown.",NA,NA,NA,NA,NA,NA,NA,y,NA,NA,y,NA,NA
work,NA,2019-10-01,2020-01-01,Research Assistant,NA,NA,NA,[RoboTIPS: Developing Responsible Robots for the Digital Economy](https://www.cs.ox.ac.uk/projects/RoboTIPS/index.html),"Developed accident scenarios and investigation processes to inform responsible innovation in social robotics, with researchers at the Dept. of Computer Science in Oxford (lead: Prof. Marina Jirotka), and the Bristol Robotics Facility (lead: Prof. Alan Winfield).",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,NA
work,NA,2019-03-13,NA,R Markdown Instructor,NA,NA,NA,"St. Anne's College, University of Oxford: [TIER Faculty Development Workshop](https://www.projecttier.org/fellowships-and-workshops/faculty-development-workshops/)",Taught a 2-day master class in Reproducible Research to 20+ research staff and faculty from research institutions across Europe.,NA,NA,NA,NA,n,NA,NA,y,n,n,n,NA,NA
work,NA,2017-07-01,2019-02-01,Web developer,NA,NA,NA,"Dept. of Computer Science, University of Oxford: [SOCIAM: The Theory and Practice of Social Machines](https://sociam.org)","Built [sociam.org](https://www.sociam.org), which archives outputs of a 5.5 year EPSCR research project involving 55+ researchers, 40+ projects, and 400+ publications. Developed from scratch in Drupal 7, assisted by two summer interns. Ongoing maintenance, feature development, and content curation.",NA,NA,NA,NA,y,NA,NA,n,NA,NA,y,NA,NA
work,NA,2017-05-01,2019-06-01,Bartender,NA,NA,NA,"Linacre College, University of Oxford",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
work,NA,2013-10-01,2016-07-01,Festival Producer and Manager,NA,NA,NA,"[Institute of Art and Ideas](https://iai.tv), London","Generated ideas and wrote programme copy for 250+ panel debates for the internationally renowned philosophy and music festival [HowTheLightGetsIn](https://howthelightgetsin.org/); interviewed (600+) and booked (150+) speakers, including Cory Doctorow, Aubrey de Grey, and Simon Baron-Cohen; led and managed a research team division of two full-time staff plus a music team of three full-time staff.",NA,NA,NA,NA,y,NA,NA,y,NA,NA,y,NA,NA
technical,NA,NA,NA,"Programming, data analysis and visualisation",NA,NA,NA,NA,"in R (tidyverse), Python, and D3.js",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Reproducible research,NA,NA,NA,NA,"with R Markdown (bookdown, xaringan, pagedown) + LaTeX + HTML",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
technical,NA,NA,NA,Web development,NA,NA,NA,NA,"(HTML, CSS, JavaScript, Hugo, blogdown, Jekyll, GitHub Pages, Netlify)",NA,NA,NA,NA,y,NA,NA,NA,NA,NA,NA,NA,NA
volunteering,NA,2017-02-01,2019-02-01,Computer Science Ambassador,NA,NA,NA,"Dept. of Computer Science, University of Oxford",I gave regular talks about my group's and my personal research to 14-18 year old students from schools in the UK visiting the Dept. of Computer Science,NA,NA,NA,NA,NA,2,NA,y,NA,NA,NA,NA,NA
volunteering,NA,2017-04-30,present,Founding Band Member,NA,NA,NA,[The Karaoke Collective](https://karaokecollective.com),"Inventor, MC and drummer; the KC is a group of seasoned musicians in Oxford and London where we blend the fun of karaoke with the magic of a live band.",NA,NA,NA,NA,NA,1,n,y,NA,NA,NA,NA,NA
volunteering,NA,2013-10-01,2016-06-01,Interview Coach,NA,NA,NA,"[Oxbridge Interviews, Oxfizz](https://oxfizz.org/)",Provided interview training to 30+ teenagers from families not traditionally going to university wishing to apply to Oxford or Cambridge,NA,NA,NA,NA,NA,3,n,y,NA,NA,NA,NA,NA
volunteering,NA,2017-02-01,2019-02-01,"Steering committee member, Oxford Scandinavian Society",NA,NA,NA,"Co-organiser of 'sittnings' (traditional Scandinavian dinner- and drinking parties), movie nights, summer BBQs and more. Webmaster at oxfordscandinavian.com",NA,NA,NA,NA,NA,NA,4,n,NA,NA,NA,NA,NA,NA
volunteering,NA,2017-01-01,2017-04-30,"Head of Entertainment, Linacre College Ball",NA,NA,NA,"Planned, contracted, and produced 15+ acts, including a 30-piece swing band, funk orchestra, live karaoke, glitter fairy, space hopper race, treasure hunt and drumming DJ",NA,NA,NA,NA,NA,NA,5,n,NA,NA,NA,NA,NA,NA
teaching,NA,2021-09-23,NA,"Instructor, [Reproducible research with R Markdown](https://ulyngs.github.io/oxberlin-2021-rmd-workshop/)",NA,NA,NA,[Oxford|Berlin Summer School on Open Research](https://s-quest.bihealth.org/BeOx/index.html),"25 early career researchers (MSc, PhD, and postdocs). Taught a 2-hour workshop on workflows for reproducible data analysis and paper writing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
teaching,NA,2020-02-01,2020-05-01,"Teaching assistant, [Big Data Analytics](https://www.oii.ox.ac.uk/study/courses/big-data-analytics/)",NA,NA,NA,"Oxford Internet Institute, University of Oxford",20 master's students. Taught the practical part of the class on analysing and visualising non-normally distributed data in R and RStudio,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,y,Teaching assistant to Taha Yasseri on data analytics and visualisation in social science of the internet.
teaching,NA,2019-03-13,NA,"Instructor, [Reproducible research with R Markdown](https://ulyngs.github.io/rmarkdown-workshop-2019/)",NA,NA,NA,"[TIER Faculty Development Workshop](https://www.projecttier.org/fellowships-and-workshops/faculty-development-workshops/), St. Anne's College, University of Oxford",20 staff and faculty from research institutions across Europe. Developed and taught a 2-day master class in reproducible research,NA,NA,NA,NA,n,NA,NA,NA,NA,NA,y,y,NA
teaching,NA,2013-08-01,2013-09-01,"Teacher, Introduction to Evolutionary Psychology",NA,NA,NA,[Oxbridge International Summer School](https://oxfizz.org/),10 high school students. Organised and taught a 2-week course with group and individual tutorials,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA
teaching,NA,2010-09-01,2011-02-01,"Teaching assistant, Philosophy, theory of science, and university history",NA,NA,NA,"Dept. for the Study of Religion, Aarhus University",20 undergraduate students. Taught a weekly supplementary seminar to the main lecture series,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA
software-browser-extensions,NA,2019-09-01,present,"[""No Distractions"" for YouTube](https://apps.apple.com/gb/app/no-distractions-for-youtube/id1482507016?mt=12)",NA,NA,NA,browser extension that hides distracting UI elements on YouTube in the Safari browser on Mac and iOS,NA,NA,https://apps.apple.com/gb/app/no-distractions-for-youtube/id1482507016?mt=12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
software-browser-extensions,NA,2021-12-01,present,[Newsfeed toggle for Facebook](https://apps.apple.com/gb/app/newsfeed-toggle-for-facebook/id1598798014),NA,NA,NA,browser extension that hides distracting UI elements on Facebook in the Safari browser on Mac and iOS,NA,NA,https://apps.apple.com/gb/app/newsfeed-toggle-for-facebook/id1598798014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
software-browser-extensions,NA,2019-12-01,present,[HighlightAds for Google Search](https://apps.apple.com/gb/app/highlightads-for-google-search/id1496633107?mt=12),NA,NA,NA,browser extension that adds a background color to search results on Google that are ads in the Safari browser on Mac,NA,NA,https://apps.apple.com/gb/app/highlightads-for-google-search/id1496633107?mt=12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
software-browser-extensions,NA,2019-12-01,present,"[""No Distractions"" for Twitter](https://apps.apple.com/gb/app/no-distractions-for-twitter/id1486155792?mt=12)",NA,NA,NA,browser extension that hides distracting UI elements on Twitter in the Safari browser on Mac,NA,NA,https://apps.apple.com/gb/app/no-distractions-for-twitter/id1486155792?mt=12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
software-rstats,NA,2019-10-01,present,[`oxforddown`](https://github.com/ulyngs/oxforddown),NA,NA,NA,"for reproducible thesis writing in R Markdown, formatted with a traditional University of Oxford LaTeX template",NA,NA,https://github.com/ulyngs/oxforddown,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
software-rstats,NA,2018-06-01,2020-09-01,"[`chi-2021-rmd-template`](https://github.com/ulyngs/chi-2021-rmd-template), [`chi20-papers-rmarkdown`](https://github.com/ulyngs/chi20-papers-rmarkdown), [`chi-proc-rmd-template`](https://github.com/ulyngs/chi-proc-rmd-template) & [`chi-ea-template`](https://github.com/ulyngs/chi-ea-rmd-template)",NA,NA,NA,for writing reproducible submissions in R Markdown to the ACM CHI conference,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
software-rstats,NA,2019-07-01,present,[`pagedown-cv`](https://github.com/ulyngs/pagedown-cv),NA,NA,NA,"for dynamically generating a curriculum vitae from data held in a spreadsheet into a variety of output formats, using R Markdown and the `pagedown` R package",NA,NA,https://github.com/ulyngs/pagedown-cv,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
open_research,NA,NA,NA,"Data, materials, and analysis for ""Before and after GDPR...""",NA,NA,NA,NA,Before and after GDPR: tracking in mobile apps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
open_research,NA,NA,NA,"Data, materials, and analyses for my DPhil thesis ""Ulysses in Cyberspace...""",NA,NA,NA,NA,Ulysses in Cyberspace: Examining the Effectiveness of Design Patterns for Digital Self-Control,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
open_research,NA,NA,NA,"Data, materials, and analysis for ""'I Just Want to Hack Myself...""",NA,NA,NA,NA,"""I Just Want to Hack Myself to Not Get Distracted"": Evaluating Design Interventions for Self-Control on Facebook",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
open_research,NA,NA,NA,"Data, materials, and analysis for ""Self-Control in Cyberspace...""",NA,NA,NA,NA,Self-Control in Cyberspace: Applying Dual Systems Theory to a Review of Digital Self-Control Tools,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
open_research,NA,NA,NA,"Data and analysis for ""Third party tracking...""",NA,NA,NA,NA,Third party tracking in the mobile ecosystem,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
